06-Aug-2020 (22:32:57): Epoch: [0][310/468]	Time 0.026 (0.041)	Data 0.002 (0.002)	Loss 1.5497 (1.7046)	Acc@1 38.281 (39.037) Acc@5 88.281 (86.259)	
06-Aug-2020 (22:32:57): Epoch: [0][320/468]	Time 0.039 (0.041)	Data 0.001 (0.002)	Loss 1.6116 (1.7009)	Acc@1 40.625 (39.131) Acc@5 92.188 (86.317)	
06-Aug-2020 (22:32:58): Epoch: [0][330/468]	Time 0.040 (0.041)	Data 0.002 (0.002)	Loss 1.7227 (1.6985)	Acc@1 37.500 (39.199) Acc@5 85.156 (86.353)	
06-Aug-2020 (22:32:58): Epoch: [0][340/468]	Time 0.039 (0.040)	Data 0.002 (0.002)	Loss 1.5903 (1.6969)	Acc@1 43.750 (39.250) Acc@5 92.188 (86.398)	
06-Aug-2020 (22:32:58): Epoch: [0][350/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.4949 (1.6937)	Acc@1 42.188 (39.361) Acc@5 92.188 (86.478)	
06-Aug-2020 (22:32:59): Epoch: [0][360/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.4867 (1.6906)	Acc@1 45.312 (39.476) Acc@5 89.844 (86.530)	
06-Aug-2020 (22:32:59): Epoch: [0][370/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.5381 (1.6888)	Acc@1 44.531 (39.549) Acc@5 87.500 (86.576)	
06-Aug-2020 (22:32:59): Epoch: [0][380/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.5458 (1.6861)	Acc@1 45.312 (39.635) Acc@5 89.844 (86.637)	
06-Aug-2020 (22:33:00): Epoch: [0][390/468]	Time 0.039 (0.040)	Data 0.002 (0.002)	Loss 1.5472 (1.6838)	Acc@1 46.875 (39.720) Acc@5 92.188 (86.701)	
06-Aug-2020 (22:33:00): Epoch: [0][400/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.5143 (1.6808)	Acc@1 42.969 (39.832) Acc@5 92.188 (86.785)	
06-Aug-2020 (22:33:01): Epoch: [0][410/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.6258 (1.6790)	Acc@1 39.844 (39.876) Acc@5 89.062 (86.831)	
06-Aug-2020 (22:33:01): Epoch: [0][420/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.7776 (1.6773)	Acc@1 41.406 (39.977) Acc@5 85.156 (86.888)	
06-Aug-2020 (22:33:01): Epoch: [0][430/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.6972 (1.6763)	Acc@1 39.844 (40.012) Acc@5 86.719 (86.925)	
06-Aug-2020 (22:33:02): Epoch: [0][440/468]	Time 0.039 (0.040)	Data 0.002 (0.002)	Loss 1.6674 (1.6738)	Acc@1 39.844 (40.102) Acc@5 89.062 (86.979)	
06-Aug-2020 (22:33:02): Epoch: [0][450/468]	Time 0.039 (0.040)	Data 0.002 (0.002)	Loss 1.5494 (1.6725)	Acc@1 44.531 (40.164) Acc@5 89.062 (87.020)	
06-Aug-2020 (22:33:03): Epoch: [0][460/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.5540 (1.6710)	Acc@1 51.562 (40.227) Acc@5 89.844 (87.058)	
06-Aug-2020 (22:33:06): 
06-Aug-2020 (22:33:06):Test set: Average loss: 1.8317, Accuracy: 3493/10000 (34.930%)
06-Aug-2020 (22:33:06):
06-Aug-2020 (22:33:06): 
06-Aug-2020 (22:33:06):>_ Got better accuracy at epoch [0], saving model with accuracy 34.930% now...
06-Aug-2020 (22:33:06):
06-Aug-2020 (22:33:07): 
06-Aug-2020 (22:33:07):>_ Deleting previous model file with accuracy 0.000% now...
06-Aug-2020 (22:33:07):
06-Aug-2020 (22:33:07): Epoch: [1][0/468]	Time 0.098 (0.098)	Data 0.065 (0.065)	Loss 1.6304 (1.6304)	Acc@1 43.750 (43.750) Acc@5 89.062 (89.062)	
06-Aug-2020 (22:33:07): Epoch: [1][10/468]	Time 0.035 (0.043)	Data 0.001 (0.008)	Loss 1.5190 (1.5878)	Acc@1 50.000 (43.892) Acc@5 89.844 (88.423)	
06-Aug-2020 (22:33:07): Epoch: [1][20/468]	Time 0.034 (0.040)	Data 0.001 (0.005)	Loss 1.5634 (1.5944)	Acc@1 44.531 (43.155) Acc@5 88.281 (88.728)	
06-Aug-2020 (22:33:08): Epoch: [1][30/468]	Time 0.049 (0.041)	Data 0.002 (0.004)	Loss 1.6488 (1.5994)	Acc@1 36.719 (42.868) Acc@5 89.062 (88.332)	
06-Aug-2020 (22:33:08): Epoch: [1][40/468]	Time 0.049 (0.043)	Data 0.002 (0.003)	Loss 1.5273 (1.5935)	Acc@1 48.438 (43.083) Acc@5 91.406 (88.834)	
06-Aug-2020 (22:33:09): Epoch: [1][50/468]	Time 0.049 (0.045)	Data 0.002 (0.003)	Loss 1.5599 (1.5935)	Acc@1 47.656 (42.984) Acc@5 88.281 (88.971)	
06-Aug-2020 (22:33:09): Epoch: [1][60/468]	Time 0.049 (0.046)	Data 0.002 (0.003)	Loss 1.6743 (1.5897)	Acc@1 38.281 (43.122) Acc@5 85.156 (88.832)	
06-Aug-2020 (22:33:10): Epoch: [1][70/468]	Time 0.049 (0.047)	Data 0.001 (0.003)	Loss 1.4612 (1.5780)	Acc@1 44.531 (43.552) Acc@5 93.750 (89.129)	
06-Aug-2020 (22:33:10): Epoch: [1][80/468]	Time 0.049 (0.047)	Data 0.002 (0.003)	Loss 1.7303 (1.5796)	Acc@1 42.969 (43.644) Acc@5 84.375 (89.101)	
06-Aug-2020 (22:33:11): Epoch: [1][90/468]	Time 0.049 (0.048)	Data 0.002 (0.003)	Loss 1.4104 (1.5743)	Acc@1 44.531 (43.776) Acc@5 91.406 (89.208)	
06-Aug-2020 (22:33:11): Epoch: [1][100/468]	Time 0.049 (0.048)	Data 0.002 (0.003)	Loss 1.4701 (1.5756)	Acc@1 46.875 (43.649) Acc@5 90.625 (89.163)	
06-Aug-2020 (22:33:12): Epoch: [1][110/468]	Time 0.049 (0.048)	Data 0.002 (0.003)	Loss 1.4064 (1.5746)	Acc@1 51.562 (43.778) Acc@5 92.969 (89.161)	
06-Aug-2020 (22:33:12): Epoch: [1][120/468]	Time 0.049 (0.049)	Data 0.002 (0.003)	Loss 1.5484 (1.5718)	Acc@1 45.312 (44.124) Acc@5 91.406 (89.159)	
06-Aug-2020 (22:33:13): Epoch: [1][130/468]	Time 0.049 (0.049)	Data 0.002 (0.002)	Loss 1.6972 (1.5724)	Acc@1 41.406 (44.090) Acc@5 85.938 (89.104)	
